City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,bontang,0.1333,117.5,28.42,78,10,3.8,ID,1699180801
274,prince george,53.9166,-122.753,7.69,85,0,8.23,CA,1699180803
275,harran,36.86,39.0314,25.51,40,0,1.27,TR,1699180804
276,hechuan,29.9947,106.2572,21.27,66,46,0.97,CN,1699180602
277,santa rosalia,27.3167,-112.2833,21.39,41,0,1.15,MX,1699180813
278,ghat,24.9647,10.1728,31.08,10,0,1.11,LY,1699180816
279,banepa,27.6298,85.5214,20.18,56,20,3.6,NP,1699180817
280,klyuchi,52.2667,79.1667,-2.45,81,76,2.8,RU,1699180820
281,kirakira,-10.4544,161.9205,25.68,89,100,4.52,SB,1699180821
282,paraiso,9.8383,-83.8656,18.56,95,100,0.71,CR,1699180822
283,newnham,-41.3833,147.1333,13.53,62,100,4.63,AU,1699180824
284,arteche,12.2645,125.4048,27.04,85,31,2.4,PH,1699180827
285,fort st. john,56.2499,-120.8529,-1.06,93,100,0.0,CA,1699180828
286,sitka,57.0531,-135.33,7.94,93,100,0.0,US,1699180829
287,cuite,-6.4836,-36.1536,25.36,57,64,5.25,BR,1699180830
288,shakhun'ya,57.6758,46.6114,4.86,66,84,6.03,RU,1699180832
289,mpwapwa,-6.35,36.4833,28.52,47,93,3.92,TZ,1699180833
290,tobelo,1.7284,128.0095,27.71,78,73,1.08,ID,1699180834
291,baardheere,2.3446,42.2764,30.98,59,94,3.14,SO,1699180838
292,san fernando de apure,7.8878,-67.4724,24.15,94,47,1.2,VE,1699180839
293,abepura,-2.6333,140.5833,27.45,74,20,2.57,ID,1699180840
294,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,100,20,1.03,ID,1699180841
295,choibalsan,48.0667,114.5,-13.76,90,94,3.22,MN,1699180843
296,vorgashor,67.5833,63.95,-4.75,94,100,7.08,RU,1699180844
297,flin flon,54.7682,-101.865,-5.62,84,100,4.14,CA,1699180846
298,petauke,-14.2426,31.3253,37.56,18,94,1.36,ZM,1699180849
299,chandbali,20.7833,86.7667,27.94,66,80,3.02,IN,1699180851
300,changling,44.2653,124.0005,2.4,41,100,6.05,CN,1699180852
301,nema,57.5067,50.5011,3.34,62,89,4.58,RU,1699180854
302,jasidih,24.5167,86.65,26.59,42,0,2.89,IN,1699180855
303,joshua,32.4615,-97.3881,16.42,94,0,3.09,US,1699180856
304,pisco,-13.7,-76.2167,18.03,88,0,4.12,PE,1699180858
305,la passe,45.5549,-0.8967,15.57,70,65,10.15,FR,1699180859
306,sinabang,2.4803,96.3801,26.26,87,98,2.16,ID,1699180860
307,sisimiut,66.9395,-53.6735,-7.35,66,34,6.61,GL,1699180861
308,wakkanai,45.4094,141.6739,11.16,76,100,5.81,JP,1699180862
309,monze,-16.2833,27.4833,36.14,16,74,1.65,ZM,1699180864
310,bubaque,11.2833,-15.8333,28.22,77,68,2.93,GW,1699180866
311,vila velha,-20.3297,-40.2925,22.97,87,75,4.92,BR,1699180867
312,waingapu,-9.6567,120.2641,28.04,62,30,3.38,ID,1699180868
313,qianzhou,28.3167,109.7167,17.96,87,57,4.99,CN,1699180870
314,mpongwe,-13.5091,28.155,33.73,25,87,2.52,ZM,1699180871
315,westport,41.1415,-73.3579,10.49,81,100,2.06,US,1699180873
316,benidorm,38.5382,-0.131,20.83,43,0,8.63,ES,1699180875
317,mildura,-34.2,142.15,20.04,39,2,3.56,AU,1699180876
318,mejit,10.2753,170.8646,28.13,77,89,9.03,MH,1699180877
319,aracruz,-19.8203,-40.2733,22.56,80,97,3.72,BR,1699180880
320,rajula,21.05,71.4333,33.04,27,8,4.09,IN,1699180882
321,maragogi,-9.0122,-35.2225,26.75,73,100,4.97,BR,1699180883
322,banda aceh,5.5577,95.3222,27.87,77,84,2.43,ID,1699180884
323,nyagan,62.1406,65.3936,-5.28,91,33,3.59,RU,1699180885
324,las khorey,11.1595,48.1967,27.94,68,49,3.51,SO,1699180887
325,ankazobe,-18.3167,47.1167,24.85,53,70,5.07,MG,1699180888
326,queenstown,-31.8976,26.8753,27.17,29,57,5.98,ZA,1699180889
327,luquillo,18.3725,-65.7166,26.7,96,40,2.06,PR,1699180892
328,helena,46.5927,-112.0361,10.14,88,75,3.6,US,1699180893
329,mount pearl,47.5166,-52.7813,7.86,94,75,3.6,CA,1699180894
330,urzhar,47.093,81.6294,6.54,51,11,1.04,KZ,1699180896
331,ansermanuevo,4.7972,-75.995,22.43,99,100,0.49,CO,1699180897
332,east london,-33.0153,27.9116,22.52,56,75,3.73,ZA,1699180898
333,yermentau,51.6214,73.1069,1.07,51,19,3.01,KZ,1699180900
334,conception bay south,47.4999,-52.9981,8.19,94,100,0.87,CA,1699180901
335,kosh-agach,50.0,88.6667,-5.39,46,96,0.45,RU,1699180902
336,holualoa,19.6228,-155.9522,23.91,77,100,3.6,US,1699180903
337,kangding,30.0513,101.9603,7.76,79,96,1.22,CN,1699180905
338,balqash,46.8481,74.995,11.33,50,0,7.0,KZ,1699180906
339,tosontsengel,48.7567,98.2839,-15.06,84,79,0.67,MN,1699180907
340,kalmunai,7.4167,81.8167,28.25,75,95,3.49,LK,1699180909
341,tolanaro,-25.0319,46.9987,24.04,83,75,9.77,MG,1699180912
342,dudinka,69.4058,86.1778,-12.43,97,100,1.94,RU,1699180915
343,skaelskor,55.2506,11.2935,10.56,85,99,5.56,DK,1699180916
344,luderitz,-26.6481,15.1594,21.41,55,0,6.88,NA,1699180920
345,paciran,-6.8767,112.3761,29.05,72,54,4.99,ID,1699180921
346,puerto baquerizo moreno,-0.9,-89.6,24.06,75,98,4.97,EC,1699180923
347,aleg,17.0481,-13.9209,35.42,9,4,4.18,MR,1699180924
348,kyshtovka,56.555,76.6271,-2.03,78,71,7.6,RU,1699180641
349,lesnoy,57.6198,63.0784,-1.98,80,40,1.48,RU,1699180928
350,sur,22.5667,59.5289,31.37,43,1,6.9,OM,1699180929
351,gulf shores,30.246,-87.7008,15.0,71,0,0.0,US,1699180930
352,codrington,-38.2667,141.9667,12.73,86,7,3.64,AU,1699180931
353,christchurch,-43.5333,172.6333,9.39,91,100,4.63,NZ,1699180933
354,sandakan,5.8402,118.1179,27.82,83,20,0.51,MY,1699180934
355,lockwood,45.8191,-108.4149,13.94,54,100,7.2,US,1699180937
356,g'uzor,38.6214,66.2522,25.02,14,100,1.79,UZ,1699180938
357,gaspe,48.8334,-64.4819,0.95,100,20,0.0,CA,1699180940
358,saudarkrokur,65.7461,-19.6394,0.27,89,96,10.05,IS,1699180941
359,kushiro,42.975,144.3747,7.53,81,0,1.03,JP,1699180942
360,kuusamo,65.9667,29.1833,-0.98,93,100,3.09,FI,1699180944
361,brits,-25.6347,27.7802,29.54,27,2,4.11,ZA,1699180947
362,bridgewater,44.3835,-64.5155,7.82,95,100,2.06,CA,1699180949
363,russkiy,43.0147,131.8642,2.92,92,100,4.17,RU,1699180951
